Region;Origen;Destino;Cantidad de Enlaces;Velocidad [Gbps];Ruta;Distancia_km;GSNR_Total_dB;Umbral_OSNR_dB;Factible;Necesito_Regeneracion;Reg_Factible;Reg_Count;Ruta_Regenerada;Nodos_Regeneradores;Necesito Bajada;Factible con bajada;Velocidad_Ajustada [Gbps];GSNR_Total_dB;Umbral_OSNR_dB
Norte;Benavidez;Campana;4;100;Benavidez - Campana;80;29.33;11.80;SI;NO;;0;;;NO;;;;
Norte;Campana;Baradero;4;100;Campana - Baradero;80;28;11.80;SI;NO;;0;;;NO;;;;
Norte;Baradero;San Nicolas;4;100;Baradero - San Nicolas;110;27.59;11.80;SI;NO;;0;;;NO;;;;
Norte;San Nicolas;Rosario;4;100;San Nicolas - Rosario;81;29.26;11.80;SI;NO;;0;;;NO;;;;
Norte;Rosario;San Fabian;1;200;Rosario - San Fabian;125;24.02;20.50;SI;NO;;0;;;NO;;;;
Norte;San Fabian;Santa Fe;1;200;San Fabian - Santa Fe;80;29.33;20.50;SI;NO;;0;;;NO;;;;
Norte;Rosario;San Fabian;4;100;Rosario - San Fabian;125;24.02;11.80;SI;NO;;0;;;NO;;;;
Norte;San Fabian;Santa Fe;4;100;San Fabian - Santa Fe;80;29.33;11.80;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Parana;1;200;Santa Fe - Parana;40;30.85;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;La Paz;1;200;Santa Fe - Parana - La Paz;222;23.44;20.50;SI;NO;;0;;;NO;;;;
Norte;Santa Fe;Goya;1;200;Santa Fe - Parana - La Paz - Goya;435;20.69;20.50;SI;NO;;0;;;NO;;;;
